AdditionalInfo,Name,Amount,PrintSize,PrintResolutionY,PrintResolutionX,Description,Weight,PagePerMinute,Brand,PrintingTechnology,FunctionType,Price,Size
"Частота процессора: 600 МГц  
Память: 128 МБ  
Нагрузка (в месяц, формат A4): до 20000 страниц  
Рекомендуемый ежемесячный объем печати: 250–2500 страниц  
Лоток подачи на 150 листов  
Приёмный лоток на 100 листов  
  
**Сканер:**  
Формат файла сканирования: JPEG, PDF, PNG  
Разрешение при сканировании, оптическое: До 600 dpi (цветной режим, планшетный
сканер); До 1200 dpi (черно-белый/цветной режим, планшетный сканер)  
Максимальный размер области сканирования (планшет): 215.9 x 297 мм  
Скорость сканирования (обычный режим, формат A4): До 11 стр/мин  
  
**Копир:**  
Скорость копирования (обычный режим): Черно-белая - До 22 копий/мин  
Разрешение при копировании (чёрный текст): 600 x 400 dpi  
Настройка уменьшения/увеличения копий: от 25 до 400%  
Количество копий, максимум: До 99 копий  

","
HP LaserJet Ultra M134a (G3Q66A) ",16,A4,600,600,"**В комплекте три черных картриджа ~ 6900 стр (2300 стр х 3)!**

Оцените преимущества низкой стоимости печати и высокой производительности МФУ
**HP LaserJet Ultra**. Три черных картриджа на 2300 страниц входят в комплект
поставки устройства. Создавайте документы профессионального и стабильного
качества, не выходя за рамки бюджета.

 **Качество HP и выгодная цена**

  * Картридж для печати до 2300 страниц входит в комплект поставки в расчете на большие объемы печати при низких затратах и без риска.
  * С помощью HP LaserJet Ultra стоимость печати можно сократить до 60 % по сравнению с устройствами предыдущих поколений.
  * Благодаря неизменному качеству и выгодной цене оригинальных продуктов HP приобретать поддельные расходные материалы не имеет никакого смысла.
  * Благодаря предварительно установленному картриджу HP вы сможете приступить к печати сразу после распаковки принтера.

  

 **Создано для эффективной работы**

  * Это МФУ объединяет в себе возможности печати, сканирования и копирования, при этом занимает совсем немного места.
  * Вам не придется долго ждать Печать до 22 страниц в минуту, печать первой страницы всего за 7.3 секунды.
  * Экономьте электроэнергию благодаря технологии HP Auto-On/Auto-Off.
  * Управляйте заданиями напрямую на принтере. Для удобства он оснащен двухстрочным ЖК-дисплеем.

  

 **Удобное подключение**

  * Подключайте лазерный принтер HP напрямую к компьютеру через высокоскоростной разъем USB 2.0.

  

 **Неизменно высокое качество печати HP**

  * Черный тонер обеспечивает высокую контрастность черно-белых текстов, шрифтов и графических изображений.
  * Не покупайте поддельные расходные материалы, чтобы избежать проблем с качеством результатов.
  * Датчики контроля помогут отслеживать количество обработанных страниц, а специальная технология позволит оптимизировать потребление расходных материалов, чтобы печатать больше.
  * Быстро заменяйте картриджи с автоматическим удалением блокировки и легко открывающимися корпусами.

",6.8,22,HP (Hewlett Packard),Лазерная печать (ч/б),МФУ,5678,398 x 288 x 231.1
"**Сканер:**  
Тип: планшетный сканер CIS для фото и документов  
Разрешение при сканировании (оптическое): 600 x 1200 dpi  
Скорость сканирования документа формата A4: 19 с  
Глубина сканирования (на входе/на выходе): цвет: 48/24 бит, оттенки серого:
16/8 бит  
Максимальный размер документов: 216 х 297 мм  
  
**Копир:**  
Скорость копирования: sFCOT: ~ 30 с; sESAT: ~ 1.8 изобр./мин  
Количество копий: 21 (макс.)  
Функции копирования: копирование документа  
  

","
Canon PIXMA Ink Efficiency E414 (1366C009) ",17,A4,4800,600,"**Печатать, сканировать и копировать дома никогда не было так просто**  
Производительное устройство «Все в одном» идеально подходит для использования
дома, позволяя качественно выполнять высокоскоростную печать, сканирование и
копирование документов. Стильный компактный принтер Canon PIXMA E414 оснащен
мощными, но простыми в использовании функциями и с легкостью поместится на
вашем рабочем столе.

 **Доступное устройство премиум-класса**  
Доступная цена и непревзойденное качество печати как текстовых документов, так
и фотографий делают принтер Canon PIXMA E414 невероятно ценным приобретением.
Технология печати FINE обеспечивает насыщенные оттенки черного, яркие цвета и
невероятный уровень детализации отпечатков.

 **Сочетание технологий и творческих возможностей**  
Используйте функцию распознавания лиц в приложении My Image Garden, чтобы
систематизировать и печатать фотографии. Создавайте почтовые и поздравительные
открытки, календари или поделки из бумаги по шаблонам, созданным
профессиональными художниками, с помощью программы Creative Park Premium.

 **Новая страница в истории доступной печати**  
Принтер Canon PIXMA E414 позволит вам снизить расходы, сохраняя высокое
качество печати. Экономичные картриджи Canon с увеличенным ресурсом позволяют
реже менять чернила, сокращая стоимость печати страницы.

 **Встроенные технологии энергосбережения**  
Функции автоматического включения и выключения делают устройство более
энергоэффективным. Вам даже не нужно включать принтер — просто нажмите кнопку
«Печать» на компьютере, чтобы распечатать документ, — принтер сразу же выйдет
из режима энергосбережения и начнет печать.

 **Совместимые картриджи:**

  * PG-46 (~ 400 страниц А4)
  * CL-56 (~ 300 страниц А4)

  

",3.4,8,Canon,Струйная печать,МФУ,1599,426 x 306 x 145
,"
Samsung SCX-4650N ",5,A4,1200,1200,"**Универсальное устройство 3-в-1**  
Универсальный принтер Samsung SCX-4650N является устройством типа ""3-в-1"",
которое обеспечивает высокую эффективность работы любого офиса. Благодаря
режимам печати, копирования и сканирования, SCX-4650N может стать незаменимым
инструментом любого офиса. Оснащенный самым современным набором функций,
включая копирование документов, копирование нескольких страниц на один лист
(N-up copy), сканирование на email, МФУ обеспечивает функциональность,
необходимую для ведения современного бизнеса.

 **Экономичная печать одним нажатием кнопки**  
Экономичная печать нажатием одной кнопки Eco. Сэкономить расходы на печать и
энергопотребление можно переключением принтера в режим экономии тонера ""Eco
Mode"". Не нужно тратить время на выбор настроек или редактирование документов,
просто нажмите одну кнопку, и принтер автоматически переключится в режим
экономной печати.

 **Оптимизируйте режим печати с помощью технологии Easy Eco Driver**  
Оцените экономичность печати с помощью технологии Samsung Easy-Eco Driver.
Специальная программа поможет Вам просмотреть документ перед отправкой его на
печать, отрегулировать качество печати, цвет и другие настройки, удалить
ненужный текст, изображения и другие элементы. Кроме того, Вы можете
отслеживать уровень экономии, включая расходы на бумагу, тонер, электроэнергию
и т.д. Распрощайтесь с массой пробных отпечатков и оцените экономный режим
печати.

 **Повышенная производительность благодаря тонеру с увеличенным ресурсом.**  
Адаптируйте Вашу работу под Ваши запросы и наслаждайтесь высококачественной,
экономичной печатью. Картриджи с увеличенным ресурсом тонера позволят
напечатать до 2500 страниц, что обеспечит бесперебойную работу крупной
компании. В итоге, сокращение стоимости печати страницы и более редкая замена
картриджа позволят снизить производственные затраты.

 **Простой и эффективный способ управления печатью**  
Никогда еще управление принтером не было столь простым и удобным. Благодаря
приложению Easy Printer Manager Вы можете удалённо контролировать состояние
принтера, получать информацию о неисправностях и в онлайн-режиме следить за
уровнем тонера для своевременной замены картриджей. Забудьте о том, что тонер
в картридже принтера может закончиться внезапно — одно лишь простое и удобное
решение от Samsung и Вы легко сможете управлять работой принтера с вашего
рабочего места.

 **Больше удобства со встроенной сетью**  
МФУ Samsung SCX-4650N оснащено удобной встроенной сетью, обеспечивающей
расширенные возможности сетевого подключения. Эта опция позволяет осуществить
печать документов на МФУ с любого компьютера, подключенного к внутренней сети,
что позволяет сэкономить на установке дополнительных принтеров. Это удобно для
самых различных компаний, как крупных, так и мелких. Также, это отличный
способ увеличения производительности и гибкости с одновременным сокращением
расходов.

 **Совместимые картриджи:**

Черный: MLT-D117S (2500 стр@5%)

",8.6,24,Samsung,Лазерная печать (ч/б),МФУ,5709,410 x 295 x 341
"Планшетный сканер CIS для фото и документов:  
  
Скорость сканирования документа формата A4: приблизительно 19 секунд  
Глубина сканирования (на входе/на выходе): цвет: 48 / 24 бит, оттенки серого:
16 / 8 бит  
Максимальный размер документов для сканирования: 216 х 297 мм  
  
Копир:  
  
Скорость копирования: sFCOT: примерно за 24 секунды, sESAT: примерно 2.5
изображения в минуту Количество копий: 21 копия (максимум) Функции
копирования: копирование документа (обычная бумага), копирование без полей,
копирование с увеличением, печать на весь лист

","
Canon PIXMA G3400 with Wi-Fi (0630C009) ",18,A4,4800,1200,,5.8,8.8,Canon,Струйная печать,МФУ,6040,445 x 330 x 163
"Тип сканера: планшетный  
Тип датчика: CIS  
Максимальный формат оригинала: А4  
Максимальный размер сканирования: 216x297 мм  

","
Epson L366 with WI-FI (C11CE54403) ",7,A4,1440,5760,"Эксклюзивное МФУ **Epson L366** специально создано для пользователей, которым
нужна не только экономичная печать и сканирование по Wi-Fi, но и возможность
печати фото без полей. Кроме того **Epson L366** обладает высокой скоростью
печати, что поможет сэкономить время при распечатке больших объемов
документов. Ну и конечно же, как и все устройства серии Фабрика печати Epson,
данное МФУ использует встроенные емкости для чернил вместо картриджей, что
дает высокий ресурс расходных материалов и рекордно низкую себестоимость
печати.

 **Струйная печать без картриджей**  
Особенность всех устройств Фабрики печати Epson – это печать без картриджей.
Вместо картриджей Epson L366 использует специальные емкости, из которых
чернила поступают в печатающую головку через специальные тракты. При этом
уникальное строение емкостей и трактов гарантирует высокое качество печати и
надежность работы устройства даже без использования картриджей.

 **Возможность печати до 3-х лет без замены расходных материалов****  
Расходными материалами к Epson L366 служат контейнеры с чернилами высоким
ресурсом. Так четырех контейнеров с голубыми, пурпурными, желтыми и черными
чернилами хватит на печать 6500* цветных и 4000* ч/б документов, то есть при
средней нагрузке в 300 стр. в месяц стартового набора чернил вам хватит почти
на 3 года печати** без необходимости закупки расходных материалов!

 **Возможность беспроводного подключения по Wi-Fi**  
Устройство позволяет печатать и сканировать без проводов по Wi-Fi, что дает
возможность разместить его в любом удобном для вас месте и сэкономить
пространство на вашем рабочем столе, а также отправлять задания с ноутбуков из
любого уголка вашей квартиры или офиса без необходимости проводного
подключения.

 **Поддержка приложения Epson iPrint**  
Еще одним преимуществом Фабрики печати Epson L366 является поддержка
приложения Epson iPrint. Печатайте и сканируйте изображения с ваших мобильных
устройств, работающих на базе iOS и Android! С помощью Epson iPrint можно
печатать фото в формате JPEG и документы в формате PDF. А так же сканировать
изображения и сохранять их на вашем мобильном устройстве или на облачных
серверах.

 **Высокая скорость печати**  
Кроме того Epson L366 обладает высокой скоростью печати: до 33 стр/мин****.
Это позволяет сэкономить вам время, которое играет все большую роль в
современной жизни. Используя данное устройство, вы можете быть уверены в том,
что все необходимые документы будут распечатаны в максимально короткие сроки.

 **Высокое качество печати и надежность**  
Благодаря уникальной технологии печати Epson Micro Piezo и точному контролю
давления в емкостях с чернилами вы всегда получаете отпечатки превосходного
качества. Специально разработанные материалы, на основе которых изготовлены
компоненты устройства, обеспечивают долгий срок службы принтера и работу без
поломок.

 **Печать Фото без полей**  
Для пользователей, которым нужна преимущественно печать цветных документов, но
при этом изредка хочется печатать фотографии будет очень полезна функция
печати фото формата 10х15 без полей. Теперь вы сможете распечатать ваши
любимые фотографии, которые будут радовать вас яркими цветами и оттенками.

 **Новая гарантия на Epson**  
Подтверждением высокой надежности Epson L366 является расширение гарантии по
сравнению с устройствами предыдущего модельного ряда. Теперь она составляет 12
месяцев или 30 000 отпечатков***.

 ** _* Внутренний расчет Epson на основании рекомендованных розничных цен и
данных о ресурсе. Данные о ресурсе контейнеров Epson основаны на измерениях,
сделанных по методологии компании Epson с использованием тестовых образцов
печати стандарта ISO/IEC 24712. Данные о ресурсе НЕ основаны на стандарте
ISO/IEC24711. Данные могут значительно различаться в зависимости от печатаемых
изображений, параметров печати, типа бумаги, частоты использования, влажности
и температуры печати._**  
 ** _** Приблизительный расчёт исходя из печати 300 документов в месяц и
данных о ресурсе расходных материалов_**  
 ** _*** В зависимости от того, что наступит раньше._**  
 ** _****_** ** _Скорость печати в режиме драфт_**

 **Совместимые картриджи:**  
Черный: Epson L100/L200 Black (C13T66414A)  
Голубой: Epson L100/L200 Cyan (C13T66424A)  
Пурпурный: Epson L100/L200 Magenta (C13T66434A)  
Желтый: Epson L100/L200 Yellow (C13T66444A)

",4.5,33,Epson,Струйная печать,МФУ,6250,300 x 482 x 145
"Процессор: ARM 390 МГц  
Язык контроллера Host-Based  
Источник электропитания: 220-240 В, 50/60 Гц  
Уровень шума (ISO 7779 / ISO 9296)  
Печать: 50 Дб / безшумный режим 49 Дб  
Режим ожидания: 28 дБ (A)  
Режим сна: очень низкий  
  
**Ресурс фотобарабана:** 100000 страниц  
**Ресурс стартового тонера:** 700 страниц  

","
Kyocera FS-1040 (1102M23RUV) ",5,A4,600,600,"Компактное, эффективное и высокоэкономичное устройство **FS-1040** – это
идеальный настольный принтер, оснащенный кнопкой Quiet Mode (бесшумный режим),
которая позволяет существенно снизить уровень шума. Кроме того, его отличает
высокое быстродействие, обеспечивающее выход первой страницы всего лишь через
10 секунд после отправления задания на печать.

Прочный и надежный благодаря долговечным технологиям компании **Kyocera,** это
тот самый безотказный принтер, на который можно положиться.

Количество листов в лотке указано для бумаги толщиной не более 0.11 мм.
Следует использовать бумагу, которая рекомендуется компанией **Kyocera** для
применения в обычных условиях.  
  
**Особенности:**

  * До 20 страниц формата А4 в минуту
  * Универсальная кассета на 250 листов
  * Выходной лоток на 150 листов, лицевой стороной вниз
  * Качество печати 600 точек на дюйм
  * Конфигурация для Windows и Mac
  * Компактный дизайн и эргономичность
  * Печать с низким уровнем шума в режиме Quiet Mode
  * Высокая надежность, обеспечиваемая долговечными компонентами
  * Исключительно низкие затраты на печать в своем классе

  

",6.3,20,Kyocera,Лазерная печать (ч/б),Принтеры,3135,358 x 262 x 241
"Частота процессора: 600 МГц  
Память: 128 МБ  
Нагрузка (в месяц, формат A4): до 10000 страниц  
Рекомендуемый ежемесячный объем печати: 150–1500 страниц  
Лоток подачи на 150 листов  
Приёмный лоток на 100 листов  
  
**Сканер:**  
Разрешение при сканировании, оптическое: До 600 dpi (цветной режим, планшетный
сканер); До 1200 dpi (черно-белый/цветной режим, планшетный сканер)  
Максимальный размер области сканирования (планшет): 215.9 x 297 мм  
  
**Копир:**  
Скорость копирования (обычный режим): Черно-белая - До 22 копий/мин  
Разрешение при копировании (чёрный текст): 600 x 400 dpi  
Настройка уменьшения/увеличения копий: от 25 до 400%  
Количество копий, максимум: До 99 копий

","
HP LaserJet Pro M130a (G3Q57A) ",20,A4,600,600,"Оцените преимущества низкой стоимости печати и высокой производительности МФУ
**HP LaserJet Pro**. Создавайте документы профессионального и стабильного
качества, не выходя за рамки бюджета.

 **Качество HP и выгодная цена**

  * Благодаря неизменному качеству и выгодной цене оригинальных продуктов HP приобретать поддельные расходные материалы не имеет никакого смысла.
  * Благодаря предварительно установленному картриджу HP вы сможете приступить к печати сразу после распаковки принтера.

  

 **Создано для эффективной работы**

  * Это МФУ объединяет в себе возможности печати, сканирования и копирования, при этом занимает совсем немного места.
  * Вам не придется долго ждать Печать до 22 страниц в минуту, печать первой страницы всего за 7.3 секунды.
  * Экономьте электроэнергию благодаря технологии HP Auto-On/Auto-Off.

  

 **Удобное подключение**

  * Подключайте лазерный принтер HP напрямую к компьютеру через высокоскоростной разъем USB 2.0.

  

 **Неизменно высокое качество печати HP**

  * Черный тонер обеспечивает высокую контрастность черно-белых текстов, шрифтов и графических изображений.
  * Не покупайте поддельные расходные материалы, чтобы избежать проблем с качеством результатов.
  * Датчики контроля помогут отслеживать количество обработанных страниц, а специальная технология позволит оптимизировать потребление расходных материалов, чтобы печатать больше.
  * Быстро заменяйте картриджи с автоматическим удалением блокировки и легко открывающимися корпусами.

",6.8,22,HP (Hewlett Packard),Лазерная печать (ч/б),МФУ,4596,398 x 288 x 231.1
"Планшетный сканер CIS для фото и документов:  
  
Скорость сканирования документа формата A4: приблизительно 19 секунд  
Глубина сканирования (на входе/на выходе): цвет: 48 / 24 бит, оттенки серого:
16 / 8 бит  
Максимальный размер документов для сканирования: 216 х 297 мм  
  
Копир:  
  
Скорость копирования: sFCOT: примерно за 32 секунды, sESAT: примерно 1.7
изображений в минуту Количество копий: 21 копия (максимум) Функции
копирования: копирование документа (обычная бумага), копирование без полей,
копирование с увеличением, печать на весь лист

","
Canon PIXMA G2400 (0617C009) ",11,A4,4800,1200,,5.8,8.8,Canon,Струйная печать,МФУ,5745,445 x 330 x 163
"Время вывода первой страницы: 7.8 с или менее Рабочая нагрузка: макс. 5000 стр
/ мес

","
Canon i-SENSYS LBP6030W with Wi-Fi (8468B002) ",19,A4,600,600,"Компактный и недорогой лазерный принтер для монохромной печати прекрасно
подходит для дома или небольшого офиса и предусматривает возможность сетевого
доступа через Wi-Fi и печать со смартфонов или планшетов. Бесшумность работы в
сочетании с высокой надежностью и энергоэффективностью дополняет скорость и
высокое качество печати.

 **Монохромный лазерный принтер, который не занимает много места**  
Разработанный для удобного размещения на столе с возможностью простого сетевой
печати через Wi-Fi или с мобильных устройств, этот быстрый, компактный и
доступный принтер для монохромной печати прекрасно подходит для дома и
небольшого офиса. К стильному и компактному дизайну в черном цвете добавлено
съемную крышку лотка, а габариты не превышают 364 x 249 x 199 мм (Ш x Г x В).  
 **Функции сетевой печати через Wi-Fi и печать с мобильных устройств**  
Этот принтер имеет возможность беспроводной печати с компьютеров, смартфонов и
планшетов с помощью Wi-Fi. Подключите его к своей безпроводной сети без лишних
усилий — для этого достаточно лишь нажать на принтере клавишу Wi-Fi! Для
печати с устройств Apple iOS или Android просто скачайте бесплатную программу
Canon Mobile Printing.

 **Быстрая и продуктивная работа**  
Технология быстрой печати первой распечатки позволяет немедленно начать работу
после выхода из режима сна. Время вывода первого отпечатка составляет всего
7.8 секунд, а скорость профессионального лазерной печати — 18 стр / мин.
Следовательно, нет необходимости ждать, пока напечатаются важные документы.

 **Исключительно точная лазерная печать**  
Технология автоматического улучшения изображения Automatic Image Refinement
обеспечивает высококачественную и четкую печать текста и детальную графику с
разрешением печати до 2400 х 600 точек / дюйм. Мы специально разработали тонер
MS (Magnetic Spherical) для обеспечения лучших результатов на каждой странице
печати.

 **Эффективное использование энергии**  
Благодаря технологии термозакрепления, разработанной компанией Canon, этот
энергоэффективный принтер использует только 1.6 Вт в спящем режиме и
практически не требует времени на прогрев. Удобный выключатель на передней
панели позволяет легко выключить принтер, сэкономить электроэнергию и
уменьшить влияние на окружающую среду.

 **Бесшумная работа**  
В компании Canon разработан механизм, благодаря которому i-SENSYS LBP6030W
работает бесшумно в режиме ожидания и исключительно тихо во время работы.
Итак, вы можете сосредоточиться на своей работе и не отвлекаться.

 **Многофункциональный картридж**  
Универсальный картридж обеспечивает работу без необходимости технического
обслуживания и одновременно высокое качество печати. Оригинальный лазерный
картридж Canon, содержащий тонер, барабан и элементы чистки, можно легко
заменить за несколько секунд.

 **Преимущества**

  * Доступный монохромный лазерный принтер — идеальный для небольшого или домашнего офиса
  * Быстрая высококачественная монохромная печать со скоростью 18 страниц в минуту
  * Экономия времени благодаря быстрому печати первого отпечатка
  * Стильный дизайн и компактность станут украшением любого рабочего места
  * Лидер энергоэффективности в своем классе

  

 **Совместимые картриджи:**

Черный: Canon 725

",5,18,Canon,Лазерная печать (ч/б),Принтеры,4579,364 x 249 x 199
"Подача бумаги: стандартная, 50 листов  
Тип чернил: водорастворимые  
Количество контейнеров: 4  
Минимальная рабочая температура, С°: 10  
Максимальная рабочая температура, С°: 35  

","
Epson L120 (C11CD76302) ",15,A4,720,720,"Фабрика печати **Epson L120** – самый доступный по цене принтер данной серии.
Кроме того он отличается самыми компактными размерами из всей линейки
устройств «Фабрика печати» благодаря новой конструкции чернильных емкостей,
вмещающих по 40 мл чернил каждого цвета.

За счет отсутствия картриджей Фабрика печати **Epson L120** позволяет печатать
цветные документы с рекордно низкой себестоимостю и является идеальным
решением для пользователей, которым нужна максимально экономичная, но вместе с
тем качественная печать.

 **Рекордно низкая себестоимость печати**  
Расходными материалами к **Epson L120** служат стандартные контейнеры с
чернилами серии C13T664 емкостью по 70 мл каждый. Таким образом не смотря на
то что емкости у данного устройства вмещают по 40 мл чернил себестоимость
печати на нем такая же, как на других 4-ех цветных моделях серии Фабрика
печати Epson.

 **Новая конструкция чернильных ёмкостей**  
В **Epson L120** используются чернильные емкости нового поколения. Теперь для
заправки чернил не требуется отсоединения емкостей от корпуса – все, что вам
нужно это открыть герметичную крышку и залить чернила. Кроме того новая
конструкция позволяет транспортировать устройство без использования
герметичных заглушек и транспортировочного клапана.

 **Высокое качество печати и надежность**  
Благодаря уникальной технологии печати **Epson Micro Piezo** и точному
контролю давления в емкостях с чернилами вы всегда получаете отпечатки
превосходного качества. Специально разработанные материалы, на основе которых
изготовлены компоненты устройства, обеспечивают долгий срок службы принтера и
работу без поломок.

 **Гарантия от производителя**  
Подтверждением высокой надежности Фабрики печати **Epson L120** является
официальная гарантия от производителя, которая, как и на аналогичные модели
(Epson L110/L210) составляет 12 месяцев или 15 000 отпечатков*.

 **Компактные размеры**  
 **Epson L120** является самой компактной Фабрикой печати Epson. Таким
образом, если вы хотите сэкономить место на рабочем столе и при этом печатать
с рекордно низкой себестоимостью **Epson L120** станет для вас идеальным
решением.

 _* В зависимости от того, что наступит раньше_.

 **Совместимые картриджи:**

Черный: Epson L100/L200 Black (C13T66414A)  
Голубой: Epson L100/L200 Cyan (C13T66424A)  
Пурпурный: Epson L100/L200 Magenta (C13T66434A)  
Желтый: Epson L100/L200 Yellow (C13T66444A)

",2.4,8.5,Epson,Струйная печать,Принтеры,3413,461 х 215 х 130
